Epoch 226: traj avg_rew -181.21704741720572, avg_traj_len 235.2941176470588
Epoch 227: traj avg_rew -149.35593482928252, avg_traj_len 222.22222222222223
Epoch 228: traj avg_rew -156.560169322104, avg_traj_len 250.0
Epoch 229: traj avg_rew -159.37931074729127, avg_traj_len 250.0
Epoch 230: traj avg_rew -142.30094018362365, avg_traj_len 210.52631578947367
Epoch 231: traj avg_rew -139.8454683285669, avg_traj_len 210.52631578947367
Epoch 232: traj avg_rew -131.61696715880998, avg_traj_len 235.2941176470588
Epoch 233: traj avg_rew -132.31030045964278, avg_traj_len 222.22222222222223
Epoch 234: traj avg_rew -144.62242553803827, avg_traj_len 210.52631578947367
Epoch 235: traj avg_rew -149.8495965146898, avg_traj_len 210.52631578947367
Epoch 236: traj avg_rew -152.38243395355443, avg_traj_len 200.0
Epoch 237: traj avg_rew -168.71295896880883, avg_traj_len 250.0
Epoch 238: traj avg_rew -158.3475805000873, avg_traj_len 250.0
Epoch 239: traj avg_rew -133.28121733572502, avg_traj_len 235.2941176470588
Epoch 240: traj avg_rew -129.04653116150544, avg_traj_len 222.22222222222223
Epoch 241: traj avg_rew -138.27052445943767, avg_traj_len 222.22222222222223
Epoch 242: traj avg_rew -187.61264691756736, avg_traj_len 250.0
Epoch 243: traj avg_rew -113.63292800096318, avg_traj_len 210.52631578947367
Epoch 244: traj avg_rew -146.05114707529648, avg_traj_len 210.52631578947367
Epoch 245: traj avg_rew -135.7793876911356, avg_traj_len 235.2941176470588
Epoch 246: traj avg_rew -152.29777475950036, avg_traj_len 210.52631578947367
Epoch 247: traj avg_rew -188.17553107501087, avg_traj_len 250.0
Epoch 248: traj avg_rew -134.82877756293172, avg_traj_len 222.22222222222223
Epoch 249: traj avg_rew -124.78957113455674, avg_traj_len 222.22222222222223
Epoch 250: traj avg_rew -137.29230918386938, avg_traj_len 200.0
Epoch 251: traj avg_rew -170.44038325236303, avg_traj_len 235.2941176470588
Epoch 252: traj avg_rew -134.53374687303253, avg_traj_len 222.22222222222223
Epoch 253: traj avg_rew -162.74198304735816, avg_traj_len 250.0
Epoch 254: traj avg_rew -139.02995283609556, avg_traj_len 250.0
Epoch 255: traj avg_rew -171.19800143678376, avg_traj_len 250.0
Epoch 256: traj avg_rew -165.40214017128935, avg_traj_len 222.22222222222223
Epoch 257: traj avg_rew -139.273808744265, avg_traj_len 200.0
Epoch 258: traj avg_rew -141.12810612388165, avg_traj_len 222.22222222222223
Epoch 259: traj avg_rew -157.92639999033904, avg_traj_len 285.7142857142857
Epoch 260: traj avg_rew -197.12515266578527, avg_traj_len 266.6666666666667
Epoch 261: traj avg_rew -126.8581377570281, avg_traj_len 166.66666666666666
Epoch 262: traj avg_rew -150.58753695918728, avg_traj_len 222.22222222222223
Epoch 263: traj avg_rew -113.18630555860665, avg_traj_len 166.66666666666666
Epoch 264: traj avg_rew -161.35468955898563, avg_traj_len 363.6363636363636
Epoch 265: traj avg_rew -148.40652425380657, avg_traj_len 222.22222222222223
Epoch 266: traj avg_rew -140.35400219588237, avg_traj_len 235.2941176470588
Epoch 267: traj avg_rew -159.18735615603518, avg_traj_len 235.2941176470588
Epoch 268: traj avg_rew -164.7672267314731, avg_traj_len 235.2941176470588
Epoch 269: traj avg_rew -164.38203092232953, avg_traj_len 222.22222222222223
Epoch 270: traj avg_rew -145.02744005759766, avg_traj_len 222.22222222222223
Epoch 271: traj avg_rew -135.38547676309307, avg_traj_len 250.0
Epoch 272: traj avg_rew -144.53589529532331, avg_traj_len 190.47619047619048
Epoch 273: traj avg_rew -154.67772374943036, avg_traj_len 210.52631578947367
Epoch 274: traj avg_rew -145.53027249251733, avg_traj_len 235.2941176470588
Epoch 275: traj avg_rew -189.80967551453898, avg_traj_len 266.6666666666667
Epoch 276: traj avg_rew -154.2701029687248, avg_traj_len 200.0
Epoch 277: traj avg_rew -126.25521399211799, avg_traj_len 235.2941176470588
Epoch 278: traj avg_rew -173.35017100761576, avg_traj_len 285.7142857142857
Epoch 279: traj avg_rew -160.8012153923283, avg_traj_len 210.52631578947367
Epoch 280: traj avg_rew -141.92561949787222, avg_traj_len 200.0
Epoch 281: traj avg_rew -150.9262112023851, avg_traj_len 210.52631578947367
Epoch 282: traj avg_rew -131.5374155115895, avg_traj_len 210.52631578947367
Epoch 283: traj avg_rew -142.76320871889612, avg_traj_len 210.52631578947367
Epoch 284: traj avg_rew -168.61229828284027, avg_traj_len 235.2941176470588
Epoch 285: traj avg_rew -183.68624170971307, avg_traj_len 235.2941176470588
Epoch 286: traj avg_rew -175.3310772113852, avg_traj_len 285.7142857142857
Epoch 287: traj avg_rew -149.83694605460929, avg_traj_len 235.2941176470588
Epoch 288: traj avg_rew -133.89289061179707, avg_traj_len 250.0
Epoch 289: traj avg_rew -157.84711056917286, avg_traj_len 222.22222222222223
Epoch 290: traj avg_rew -154.9041110714424, avg_traj_len 222.22222222222223
Epoch 291: traj avg_rew -146.03577330771049, avg_traj_len 250.0
Epoch 292: traj avg_rew -156.54680397663256, avg_traj_len 222.22222222222223
Epoch 293: traj avg_rew -144.89009800527276, avg_traj_len 200.0
Epoch 294: traj avg_rew -156.39006507653846, avg_traj_len 222.22222222222223
Epoch 295: traj avg_rew -152.75892568385024, avg_traj_len 200.0
Epoch 296: traj avg_rew -145.50610668598867, avg_traj_len 222.22222222222223
Epoch 297: traj avg_rew -155.9227120467819, avg_traj_len 235.2941176470588
Epoch 298: traj avg_rew -145.938253075828, avg_traj_len 210.52631578947367
Epoch 299: traj avg_rew -153.53308899595694, avg_traj_len 222.22222222222223
Epoch 300: traj avg_rew -145.27208443214465, avg_traj_len 250.0
Epoch 301: traj avg_rew -168.5294121167365, avg_traj_len 222.22222222222223
Epoch 302: traj avg_rew -144.20699914564761, avg_traj_len 210.52631578947367
Epoch 303: traj avg_rew -168.57607302961847, avg_traj_len 222.22222222222223
Epoch 304: traj avg_rew -172.29894013398106, avg_traj_len 250.0
Epoch 305: traj avg_rew -133.95451653158722, avg_traj_len 210.52631578947367
Epoch 306: traj avg_rew -162.33164273315825, avg_traj_len 250.0
Epoch 307: traj avg_rew -118.55446540505075, avg_traj_len 190.47619047619048
Epoch 308: traj avg_rew -162.97456047491596, avg_traj_len 250.0
Epoch 309: traj avg_rew -156.38555664282157, avg_traj_len 210.52631578947367
Epoch 310: traj avg_rew -157.28210653171766, avg_traj_len 250.0
Epoch 311: traj avg_rew -146.28884092088924, avg_traj_len 250.0
Epoch 312: traj avg_rew -162.14595621576177, avg_traj_len 210.52631578947367
Epoch 313: traj avg_rew -148.91005824535105, avg_traj_len 235.2941176470588
Epoch 314: traj avg_rew -134.18812830772552, avg_traj_len 210.52631578947367
Epoch 315: traj avg_rew -137.01021480201783, avg_traj_len 235.2941176470588
Epoch 316: traj avg_rew -131.85716144787713, avg_traj_len 222.22222222222223
Epoch 317: traj avg_rew -151.68853104078562, avg_traj_len 181.8181818181818
Epoch 318: traj avg_rew -152.0677781003862, avg_traj_len 222.22222222222223
Epoch 319: traj avg_rew -163.0380558499776, avg_traj_len 250.0
Epoch 320: traj avg_rew -127.60187330726608, avg_traj_len 210.52631578947367
Epoch 321: traj avg_rew -143.15199060694692, avg_traj_len 250.0
Epoch 322: traj avg_rew -144.2614800977605, avg_traj_len 210.52631578947367
Epoch 323: traj avg_rew -149.9938543898033, avg_traj_len 266.6666666666667
Epoch 324: traj avg_rew -137.9964495914266, avg_traj_len 250.0
Epoch 325: traj avg_rew -162.82869721656422, avg_traj_len 222.22222222222223
Epoch 326: traj avg_rew -153.63310485657104, avg_traj_len 235.2941176470588
Epoch 327: traj avg_rew -178.74640229758205, avg_traj_len 285.7142857142857
Epoch 328: traj avg_rew -171.57549974386734, avg_traj_len 235.2941176470588
Epoch 329: traj avg_rew -164.7512387648665, avg_traj_len 266.6666666666667
Epoch 330: traj avg_rew -176.37612902657472, avg_traj_len 235.2941176470588
